Description;Segment;Ending;Pos X;Pos Y ;Pos Z;Rotation;TalkAnimation;Norwegian Text;English Text;German Text
Movement: Part 1;1;;-1;7;8;Right;3;Hei der!;Hello there!;1
Movement: Part 2;;;;;;;4;Som du kan se av navnet i dialogboksen, så er jeg Stepellier. Hyggelig å møte deg her på Spillkonventet.;As you can see from my name tag, I am Stepellier. It is nice to meet you here at Spillkonventet.;2
Movement: Part 3;;;;;;;4;Jeg er her for å guide deg gjennom denne tidlige versjonen av et tutorial-level, slik at du blir klar for utfordringene som venter i denne demoen.;I am here to guide you through this rough early version of a tutorial level, so you will be ready to face the challenges waiting for you in this demo.;3
Movement: Part 4;;x;;;;;4;Men først og fremst: Du kan bevege deg rundt ved å bruke bevegelsesknappene dine:  <sprite=28> . Prøv selv! Jeg tror du kommer til å synes det føles overraskende forfriskende.;But first things first: you can move around by using your  <sprite=28>  movement button. Go ahead, try moving around! I think you will find it surprisingly refreshing.;4
Resapwn: Part 1;2;;-1;7;8;;8;Ehm... ja, det glemte jeg visst å si. Det å bevege seg koster steg, og du har bare 7 tilgjengelige. Hvis du går tom for steg, blir du sendt tilbake til det siste sjekkpunktet du gikk på. Det kan skje den beste.;Uhm... yes, I forgot to mention that. Movement costs steps, and you only have 7 available. If you run out of steps, you will be sent back to the last checkpoint you stepped on. It happens to the best of us.;5
Resapwn: Part 2;;x;;;;;9;Hvis du har gått langt av sted, sitter fast, eller bare vil tilbake til sjekkpunktet ditt, kan du holde inne respawn-knappen:  <sprite=50> . Du vil kjenne den kilende følelsen når du transporteres tilbake. Det er faktisk ganske gøy. Jeg kan virkelig anbefale det!;If you have wandered far away, gotten stuck, or simply want to return to your checkpoint, you can hold down the respawn button:  <sprite=50> . You will feel that tickling sensation as you are transported back. It is actually quite fun. You should try it!;6
Camera Rotation: Part 1;3;x;-3;7;5;Forward;4;Når du kommer til steder som dette, hvor du helst skulle ha sett rundt hjørnet for å vite hva som venter foran deg, kan du trykke på  <sprite=49>  <sprite=52>  eller  <sprite=45>  <sprite=46>  for å rotere kameraet. Du vil fort merke at dette kan komme godt med videre på reisen.;When you reach places like this, where you would really like to peek around the corner and see what lies ahead, you can press  <sprite=49>  <sprite=52>  or  <sprite=45>  <sprite=46>  to rotate the camera. You will quickly see how useful this can be, going forward.;7
Footprint: Part 1;4;;1;7;12;Left;3;Se der, et fotspor! Er det ikke et vakkert syn?;Look there, a footprint! Is it not a beautiful sight?;8
Footprint: Part 2;;;;;;;3;Det virker nesten som om verden ønsker å hjelpe oss videre. Noen steder samler det seg ekstra mye livsessens. Sjekkpunktene er ett av disse stedene. Der livsessensen er spesielt konsentrert, kan den formes til et fotavtrykk som dette.;It almost seems like the world wants to help us move forward. In certain places, a lot of life essence gathers together. Checkpoints are one of those places. When the life essence becomes especially concentrated, it can form into a footprint like this.;9
Footprint: Part 3;;;;;;;4;Hvis du går bort og plukker opp fotavtrykket, låser du opp et permanent nytt steg for dette området som du kan bruke. Det betyr at du nå kan gå lenger enn tidligere.;If you go over and pick it up, you will unlock one permanent new step for this area that you can use. It means that you now can walk farther than before.;10
Footprint: Part 4;;x;;;;;9;Prøv å plukke opp fotavtrykket, og gå deretter tilbake til det første sjekkpunktet ditt, der du startet. Kanskje du nå kan finne en ny vei videre. Jeg ville forsøkt å se etter en vei som leder oppover.;Try picking up the footprint, then return to your first checkpoint. Maybe you will be able to find a new way forward. I would try looking for a path that leads upward.;
Skin: Part 1;5;;5;7;5;Forward;9;Vi prøver alle å finne ut hva vi vil bli, og hva vi ønsker å bruke livene våre på.;We are all trying to figure out what we want to become, and what we want to spend our lives doing.;
Skin: Part 2;;;;;;;4;Hvis du ser ekstra nøye etter, kan du se en blokk som svever over bakken der borte. Plukker du den opp, får du tilgang til å bli den blokken selv. Du kan gjøre det ved å gå inn i Garderoben fra hovedmenyen eller pausemenyen din. I Garderoben kan du velge mellom alle blokkene du har plukket opp.;If you look closely, you can see a block floating above the ground over there. If you pick it up, you will gain access to become that block yourself. You can do this by entering the Wardrobe from the pause menu or the main menu. In the Wardrobe, you can choose between all the blocks you have collected.;
Skin: Part 3;;x;;;;;0;Hva med meg? Vel, jeg har ikke helt klart å bestemme meg ennå, for å si det sånn.;What about me? Well, I have not quite managed to make up my mind yet, to put it that way.;
Essence: Part 1;6;;5;6;12;Left;5;Dette begynner nesten å bli litt pinlig. Det var ingen bug at du ikke fikk til å bli den nye blokken. Det hadde jeg helt glemt å fortelle deg. Noen ganger blir man så vant til hvordan alt fungerer, at man glemmer at det finnes andre som ikke vet det ennå.;This is starting to get a little embarrassing. It was not a bug that you could not become the new block. I completely forgot to tell you about that. Sometimes you get so used to how everything works that you forget there are others who do not know yet.;
Essence: Part 2;;;;;;;4;For å låse opp en blokk du har funnet, må du samle 10 essenskuber... Det kreves bare litt ekstra livsessens for å endre på utseendet ditt. Det vil gi mening senere.;To unlock a block you have found, you need to collect 10 Essence cubes... It simply takes a little extra life essence to change your appearance. It will make sense later.;
Essence: Part 3;;;;;;;4;Essenskubene kan være gjemt litt hvor som helst. Noen er enkle å få tak i, andre er vanskeligere, og det finnes totalt 10 essenskuber i hvert område.;Essence cubes can be hidden almost anywhere. Some are easy to reach, while others are more difficult, and there are 10 Essence Cubes in total in each area.;
Essence: Part 4;;;;;;;4;En ting du kan legge merke til, er at noen essenskuber er hvite og lyser, mens andre er røde og mørke. De lyse kan du plukke opp med én gang, mens de mørke krever at du enten får tak i flere fotavtrykk eller lærer deg nye ferdigheter.;One thing you may notice is that some Essence Cubes are white and glowing, while others are red and dark. The glowing ones can be picked up right away, while the dark ones require you to either find more footprints or learn new abilities.;
Essence: Part 5;;x;;;;;9;Vel, det tror jeg var alt om essenskuber. Du kan prøve å samle alle sammen, sammen med alle blokkene, eller overse dem totalt. Det er helt opp til deg! La oss nå komme oss til toppen!;Well, that is everything about Essence Cubes. You can try to collect them all, along with every block, or ignore them completely. It is entirely up to you! Now, let's get to the top!;
FreeCam: Part 1;7;;1;14;12;Forward;3;Da var vi endelig kommet til toppen. For et syn!;At last, we have made it to the top. What a view!;
FreeCam: Part 2;;;;;;;9;Jeg har ett siste ess i ermet. Hvis du føler at du har litt dårlig oversikt, eller bare ønsker å se et større bilde av området du er i, kan du trykke på  <sprite=53>  for å gå inn i kameramodus.;I have one final trick up my sleeve. If you feel like you need a better overview, or simply want to see a larger view of the area you are in, you can press  <sprite=53>  to enter camera mode.;
FreeCam: Part 3;;x;;;;;9;Her kan du bevege kameraet rundt og se nærmere på alle kriker og kroker i området. Bare husk å trykke på  <sprite=53>  igjen når du vil avslutte, slik at du kan bevege deg fritt igjen.;Here, you can move the camera around and take a closer look at every nook and cranny in the area. Just remember to press  <sprite=53>  again when you want to exit, so you can move freely once more.;
Glueplant: Part 1;8;;0;15;5;Forward;9;Og så, helt til slutt, har vi kommet frem til kjernen av dette området: Limplanten!;And so, at long last, we have reached the heart of this area: the Glueplant!;
Glueplant: Part 2;;;;;;;8;Her skulle det egentlig vært en full cutscene, med widescreen, zoom og ordentlig kamerabevegelse. Inntil videre får vi bare forestille oss det!;This was supposed to be a full cutscene, with widescreen, zoom, and proper camera movement. For now, we will just have to imagine it!;
Glueplant: Part 3;;;;;;;9;Limplanten er den delen av verden som lagrer aller mest livsessens, og jeg ønsker at du skal samle limplantene som ligger rundt omkring i verden for meg. Klarer du det, vil både du og jeg bli belønnet med en belønning større enn noen belønning som noen noen gang har blitt belønnet med før. Noen gang.;The Glueplant is the part of the world that stores the greatest amount of life essence, and I want you to collect the Glueplants scattered around the world for me. If you manage to do that, both you and I will be rewarded with a reward greater than any reward that has ever been rewarded before. Ever.;
Glueplant: Part 4;;;;;;;4;Så jeg ville satt i gang med én gang! Foreløpig har vi bare klart å lokalisere Rivergreen-regionen. Men kom tilbake til meg med de 5 limplantene som finnes i Rivergreen, så skal jeg vise deg veien til Metalworks, hvor du kan plassere dem ut.;So I would get started right away! So far, we have only managed to locate the Rivergreen region. But return to Glueplants found in Rivergreen, and I will show you the way to Metalworks, where you can place them.;
Glueplant: Part 5;;x;;;;;2;Inntil da, på gjensyn!;Until then, farewell!;
